trial,Score,Classe,ID,Genre,Genre2
T1,3,3,E1,F,1
T2,4,4,E1,F,1
T3,2,5,E1,F,1
T4,2,5,E1,F,1
T5,4,3,E1,F,1
T6,4,4,E1,F,1
T7,3,4,E1,F,1
T8,3,5,E1,F,1
T9,4,3,E1,F,1
T10,4,3,E10,F,1
T11,2,4,E10,F,1
T12,2,5,E10,F,1
T13,2,5,E10,F,1
T14,2,4,E10,F,1
T15,2,3,E10,F,1
T16,2,4,E10,F,1
T17,3,3,E10,F,1
T18,1,5,E10,F,1
T19,4,3,E12,M,0
T20,4,3,E12,M,0
T21,2,5,E12,M,0
T22,4,4,E12,M,0
T23,3,4,E12,M,0
T24,1,5,E12,M,0
T25,2,5,E12,M,0
T26,4,3,E12,M,0
T27,3,4,E12,M,0
T28,3,4,E2,F,1
T29,4,3,E2,F,1
T30,2,4,E2,F,1
T31,2,5,E2,F,1
T32,4,3,E2,F,1
T33,2,5,E2,F,1
T34,4,4,E2,F,1
T35,4,3,E2,F,1
T36,2,5,E2,F,1
T37,3,5,E3,F,1
T38,4,3,E3,F,1
T39,3,4,E3,F,1
T40,4,3,E3,F,1
T41,4,4,E3,F,1
T42,2,5,E3,F,1
T43,3,5,E3,F,1
T44,3,4,E3,F,1
T45,4,3,E3,F,1
T46,4,4,E7,F,1
T47,3,5,E7,F,1
T48,4,3,E7,F,1
T49,3,3,E7,F,1
T50,4,4,E7,F,1
T51,4,3,E7,F,1
T52,3,5,E7,F,1
T53,3,4,E7,F,1
T54,2,5,E7,F,1
T55,2,5,E8,M,0
T56,3,5,E8,M,0
T57,4,3,E8,M,0
T58,3,5,E8,M,0
T59,4,4,E8,M,0
T60,4,4,E8,M,0
T61,4,3,E8,M,0
T62,2,4,E8,M,0
T63,3,3,E8,M,0
T64,3,4,E9,M,0
T65,4,3,E9,M,0
T66,1,4,E9,M,0
T67,3,3,E9,M,0
T68,4,3,E9,M,0
T69,3,5,E9,M,0
T70,3,4,E9,M,0
T71,1,5,E9,M,0
T72,2,5,E9,M,0
T73,4,3,L1,M,0
T74,4,4,L1,M,0
T75,4,4,L1,M,0
T76,4,3,L1,M,0
T77,2,4,L1,M,0
T78,4,3,L1,M,0
T79,3,5,L1,M,0
T80,2,5,L1,M,0
T81,3,5,L1,M,0
T82,3,3,L10,F,1
T83,4,4,L10,F,1
T84,3,5,L10,F,1
T85,4,5,L10,F,1
T86,4,3,L10,F,1
T87,4,4,L10,F,1
T88,4,3,L10,F,1
T89,2,5,L10,F,1
T90,3,4,L10,F,1
T91,2,4,L11,M,0
T92,3,5,L11,M,0
T93,4,4,L11,M,0
T94,3,4,L11,M,0
T95,4,3,L11,M,0
T96,4,3,L11,M,0
T97,4,5,L11,M,0
T98,3,3,L11,M,0
T99,4,5,L11,M,0
T100,4,3,L12,F,1
T101,3,3,L12,F,1
T102,3,5,L12,F,1
T103,3,4,L12,F,1
T104,2,4,L12,F,1
T105,2,5,L12,F,1
T106,2,5,L12,F,1
T107,3,3,L12,F,1
T108,3,4,L12,F,1
T109,4,3,L13,M,0
T110,2,5,L13,M,0
T111,2,5,L13,M,0
T112,3,4,L13,M,0
T113,4,3,L13,M,0
T114,4,3,L13,M,0
T115,2,5,L13,M,0
T116,4,4,L13,M,0
T117,4,4,L13,M,0
T118,2,3,L2,M,0
T119,2,4,L2,M,0
T120,1,5,L2,M,0
T121,2,5,L2,M,0
T122,1,3,L2,M,0
T123,2,4,L2,M,0
T124,4,3,L2,M,0
T125,3,4,L2,M,0
T126,3,5,L2,M,0
T127,2,5,L3,M,0
T128,3,4,L3,M,0
T129,4,4,L3,M,0
T130,3,3,L3,M,0
T131,3,5,L3,M,0
